jersey,name,pos,height,weight,age,team,yos,predraft_team,draft_status,nationality
15,Precious Achiuwa,SF,81,210,21,Miami Heat,0,Memphis,2020 Rnd 1 Pick 20,Nigeria
12,Steven Adams,C,84,265,27,New Orleans Pelicans,7,Pittsburgh,2013 Rnd 1 Pick 12,New Zealand
13,Bam Adebayo,C,73,255,23,Miami Heat,3,Kentucky,2017 Rnd 1 Pick 14,United States
0,Ty-Shon Alexander,SG,76,195,23,Phoenix Suns,0,Creighton,"2020 NBA Draft, Undrafted ",United States
6,Nickeil Alexander-Walker,SG,77,205,22,New Orleans Pelicans,1,Virginia Tech,2019 Rnd 1 Pick 17,Canada
3,Grayson Allen,SG,76,198,25,Memphis Grizzlies,2,Duke,2018 Rnd 1 Pick 21,United States
31,Jarrett Allen,C,73,243,23,Cleveland Cavaliers,3,Texas,2017 Rnd 1 Pick 22,United States
5,Al-Farouq Aminu,F,81,220,30,Chicago Bulls,10,Wake Forest,2010 Rnd 1 Pick 8,United States Nigeria
1,Kyle Anderson,PF,80,230,27,Memphis Grizzlies,6,UCLA,2014 Rnd 1 Pick 30,United States
34,Giannis Antetokounmpo,F,73,242,26,Milwaukee Bucks,7,Filathlitikos Div II Greece (Greece),2013 Rnd 1 Pick 15,Greece Nigeria
37,Kostas Antetokounmpo,PF,73,200,23,Los Angeles Lakers,2,Dayton,2018 Rnd 2 Pick 30,Greece United States
43,Thanasis Antetokounmpo,SF,79,215,28,Milwaukee Bucks,2,Delaware 87ers,2014 Rnd 2 Pick 21,Greece Nigeria
0,Carmelo Anthony,F,80,240,36,Portland Trail Blazers,17,Syracuse,2003 Rnd 1 Pick 3,United States
50,Cole Anthony,PG,75,190,20,Orlando Magic,0,North Carolina,2020 Rnd 1 Pick 15,United States
3,Ogugua Anunoby,SF,80,232,23,Toronto Raptors,3,Indiana,2017 Rnd 1 Pick 23,England United States
51,Ryan Arcidiacono,G,75,195,27,Chicago Bulls,3,Villanova,"2016 NBA Draft, Undrafted ",United States
0,Trevor Ariza,SF,80,215,35,Miami Heat,16,UCLA,2004 Rnd 2 Pick 14,United States
14,D.J. Augustin,G,72,183,33,Houston Rockets,12,Texas,2008 Rnd 1 Pick 9,United States
9,Deni Avdija,SG,81,210,20,Washington Wizards,0,Maccabi Tel Aviv U18 (Israel),2020 Rnd 1 Pick 9,Israel
22,Deandre Ayton,C,85,250,22,Phoenix Suns,2,Arizona,2018 Rnd 1 Pick 1,Bahamas
20,Udoka Azubuike,C,84,270,21,Utah Jazz,0,Kansas,2020 Rnd 1 Pick 27,Nigeria
8,Dwayne Bacon,SF,78,221,25,Orlando Magic,3,Florida State,2017 Rnd 2 Pick 10,United States
35,Marvin Bagley III,PF,73,240,22,Sacramento Kings,2,Duke,2018 Rnd 1 Pick 2,United States
2,LaMelo Ball,G,79,181,19,Charlotte Hornets,0,Illawarra (Australia),2020 Rnd 1 Pick 3,United States
2,Lonzo Ball,PG,78,190,23,New Orleans Pelicans,3,UCLA,2017 Rnd 1 Pick 2,United States
5,Mohamed Bamba,C,84,250,22,Orlando Magic,2,Texas,2018 Rnd 1 Pick 6,United States
22,Desmond Bane,SG,78,215,22,Memphis Grizzlies,0,Texas Christian,2020 Rnd 1 Pick 30,United States
40,Harrison Barnes,SF,80,225,28,Sacramento Kings,8,North Carolina,2012 Rnd 1 Pick 7,United States
9,R.J. Barrett,SG,79,202,20,New York Knicks,1,Duke,2019 Rnd 1 Pick 3,Canada
5,Will Barton,GF,77,181,30,Denver Nuggets,8,Memphis,2012 Rnd 2 Pick 10,United States
31,Keita Bates-Diop,SF,80,230,25,San Antonio Spurs,2,Ohio State,2018 Rnd 2 Pick 18,United States
33,Nicolas Batum,F,80,200,32,Los Angeles Clippers,12,Le Mans Sarthe Basket (France),2008 Rnd 1 Pick 25,France
46,Aron Baynes,C,73,260,34,Toronto Raptors,8,Washington State,"2009 NBA Draft, Undrafted ",New Zealand Australia
26,Kent Bazemore,GF,76,195,31,Golden State Warriors,8,Old Dominion,"2012 NBA Draft, Undrafted ",United States
7,Darius Bazley,PF,80,208,20,Oklahoma City Thunder,1,,2019 Rnd 1 Pick 23,United States
3,Bradley Beal,SG,75,207,27,Washington Wizards,8,Florida,2012 Rnd 1 Pick 3,United States
5,Malik Beasley,SG,76,187,24,Minnesota Timberwolves,4,Florida State,2016 Rnd 1 Pick 19,United States
95,DeAndre' Bembry,GF,77,210,26,Toronto Raptors,4,Saint Joseph's,2016 Rnd 1 Pick 21,United States
42,Davis Bertans,SF,73,225,28,Washington Wizards,4,Union Olimpija (Slovenia),2011 Rnd 2 Pick 12,Latvia
21,Patrick Beverley,PG,73,185,32,Los Angeles Clippers,8,Dnipro Dnipropetrovsk (Ukraine),2009 Rnd 2 Pick 12,United States
41,Saddiq Bey,F,80,215,22,Detroit Pistons,0,Villanova,2020 Rnd 1 Pick 19,United States
2,Tyler Bey,PF,79,216,23,Dallas Mavericks,0,Colorado,2020 Rnd 2 Pick 6,United States
24,Khem Birch,PF,81,230,28,Toronto Raptors,3,UNLV,"2014 NBA Draft, Undrafted ",Canada
88,Goga Bitadze,C,73,245,21,Indiana Pacers,1,KK Mega Bemax (Serbia),2019 Rnd 1 Pick 18,Georgia
8,Bismack Biyombo,PF,81,255,28,Charlotte Hornets,9,Urbas Fuenlabrada (Spain),2011 Rnd 1 Pick 7,Democratic Republic of the Congo
70,Nemanja Bjelica,PF,73,235,32,Miami Heat,5,KK Crvena Zvezda (Serbia),2010 Rnd 2 Pick 5,Serbia
5,Eric Bledsoe,PG,73,205,31,New Orleans Pelicans,10,Kentucky,2010 Rnd 1 Pick 18,United States
11,Keljin Blevins,G,78,200,25,Portland Trail Blazers,0,Montana State,"2019 NBA Draft, Undrafted ",United States
13,Bogdan Bogdanovic,SG,78,220,28,Atlanta Hawks,3,KK Partizan (Serbia),2014 Rnd 1 Pick 27,Serbia
44,Bojan Bogdanovic,F,80,216,32,Utah Jazz,6,KK Cibona (Croatia),2011 Rnd 2 Pick 1,Bosnia and Herzegovina Croatia
10,Bol Bol,C,86,209,21,Denver Nuggets,1,Oregon,2019 Rnd 2 Pick 14,United States
17,Isaac Bonga,SG,80,180,21,Washington Wizards,2,Fraport Skyliners (Germany),2018 Rnd 2 Pick 9,Germany
1,Devin Booker,SG,78,206,24,Phoenix Suns,5,Kentucky,2015 Rnd 1 Pick 13,United States
25,Chris Boucher,PF,73,200,28,Toronto Raptors,3,Oregon,"2017 NBA Draft, Undrafted ",Saint Lucia Canada
11,Avery Bradley,PG,74,180,30,Houston Rockets,10,Texas,2010 Rnd 1 Pick 19,United States
13,Tony Bradley,C,73,248,23,Oklahoma City Thunder,3,North Carolina,2017 Rnd 1 Pick 28,United States
5,Jarrell Brantley,SF,79,250,25,Utah Jazz,1,Charleston,2019 Rnd 2 Pick 20,United States
25,Mikal Bridges,SG,79,210,24,Phoenix Suns,2,Villanova,2018 Rnd 1 Pick 10,United States
0,Miles Bridges,SF,79,225,23,Charlotte Hornets,2,Michigan State,2018 Rnd 1 Pick 12,United States
37,Amida Brimah,C,73,230,27,Indiana Pacers,0,Connecticut,"2017 NBA Draft, Undrafted ",Ghana
12,OShae Brissett,PF,79,210,22,Indiana Pacers,1,Syracuse,"2019 NBA Draft, Undrafted ",Canada
7,Malcolm Brogdon,SG,77,229,28,Indiana Pacers,4,Virginia,2016 Rnd 2 Pick 6,United States
7,Armoni Brooks,SG,75,195,22,Houston Rockets,0,Houston,"2019 NBA Draft, Undrafted ",United States
24,Dillon Brooks,F,78,220,25,Memphis Grizzlies,3,Oregon,2017 Rnd 2 Pick 15,Canada
7,Jaylen Brown,SF,78,223,24,Boston Celtics,4,California,2016 Rnd 1 Pick 3,United States
1,"Bruce Brown, Jr. ",SG,76,202,24,Brooklyn Nets,2,Miami (FL),2018 Rnd 2 Pick 12,United States
7,"Troy Brown, Jr. ",SF,78,215,21,Chicago Bulls,2,Oregon,2018 Rnd 1 Pick 15,United States
4,Moses Brown,C,85,245,21,Oklahoma City Thunder,1,UCLA,"2019 NBA Draft, Undrafted ",United States
23,Sterling Brown,G,78,232,26,Houston Rockets,3,Southern Methodist,2017 Rnd 2 Pick 16,United States
13,Jalen Brunson,PG,73,190,24,Dallas Mavericks,2,Villanova,2018 Rnd 2 Pick 3,United States
13,Thomas Bryant,C,73,248,23,Washington Wizards,3,Indiana,2017 Rnd 2 Pick 12,United States
25,Reggie Bullock,SG,79,205,30,New York Knicks,7,North Carolina,2013 Rnd 1 Pick 25,United States
3,Trey Burke,G,72,185,28,Dallas Mavericks,7,Michigan,2013 Rnd 1 Pick 9,United States
18,Alec Burks,SG,78,214,29,New York Knicks,9,Colorado,2011 Rnd 1 Pick 12,United States
22,Jimmy Butler,GF,80,232,31,Miami Heat,9,Marquette,2011 Rnd 1 Pick 30,United States
12,Devontae Cacok,PF,79,240,24,Los Angeles Lakers,1,UNC Wilmington,"2019 NBA Draft, Undrafted ",United States
1,Kentavious Caldwell-Pope,SG,77,205,28,Los Angeles Lakers,7,Georgia,2013 Rnd 1 Pick 8,United States
7,Facundo Campazzo,PG,61,165,30,Denver Nuggets,0,Penarol (Argentina),"2013 NBA Draft, Undrafted ",Argentina
31,Vlatko Cancar,SF,80,236,24,Denver Nuggets,1,KK Mega Bemax (Serbia),2017 Rnd 2 Pick 19,Slovenia
15,Clint Capela,PF,73,240,26,Atlanta Hawks,6,Chalon-Sur-Saone (France),2014 Rnd 1 Pick 25,Switzerland
22,"Vernon Carey, Jr. ",PF,73,270,20,Charlotte Hornets,0,Duke,2020 Rnd 2 Pick 2,United States
4,Jevon Carter,PG,74,200,25,Phoenix Suns,2,West Virginia,2018 Rnd 2 Pick 2,United States
34,"Wendell Carter, Jr. ",PF,73,270,22,Orlando Magic,2,Duke,2018 Rnd 1 Pick 7,United States
7,Michael Carter-Williams,PG,78,195,29,Orlando Magic,7,Syracuse,2013 Rnd 1 Pick 11,United States
4,Alex Caruso,G,77,186,27,Los Angeles Lakers,3,Texas A&M,"2016 NBA Draft, Undrafted ",United States
33,Willie Cauley-Stein,C,84,240,27,Dallas Mavericks,5,Kentucky,2015 Rnd 1 Pick 6,United States
4,Chris Chiozza,PG,61,176,25,Brooklyn Nets,2,Florida,"2018 NBA Draft, Undrafted ",United States
15,Brandon Clarke,PF,80,210,24,Memphis Grizzlies,1,Gonzaga,2019 Rnd 1 Pick 21,Canada
0,Jordan Clarkson,G,77,192,28,Utah Jazz,6,Missouri,2014 Rnd 2 Pick 16,United States
33,Nicolas Claxton,C,73,215,22,Brooklyn Nets,1,Georgia,2019 Rnd 2 Pick 1,United States U.S. Virgin Islands
7,Amir Coffey,SF,80,205,24,Los Angeles Clippers,1,Minnesota,"2019 NBA Draft, Undrafted ",United States
20,John Collins,PF,81,235,23,Atlanta Hawks,3,Wake Forest,2017 Rnd 1 Pick 19,United States
33,Zach Collins,C,84,235,23,Portland Trail Blazers,3,Gonzaga,2017 Rnd 1 Pick 10,United States
10,Mike Conley,PG,73,175,33,Utah Jazz,13,Ohio State,2007 Rnd 1 Pick 4,United States
24,Pat Connaughton,SF,76,209,28,Milwaukee Bucks,5,Notre Dame,2015 Rnd 2 Pick 11,United States
25,Tyler Cook,C,80,255,23,Detroit Pistons,1,Iowa,"2019 NBA Draft, Undrafted ",United States
15,DeMarcus Cousins,C,73,270,30,Los Angeles Clippers,10,Kentucky,2010 Rnd 1 Pick 5,United States
23,Robert Covington,F,81,225,30,Portland Trail Blazers,7,Tennessee State,"2013 NBA Draft, Undrafted ",United States
12,Torrey Craig,GF,79,215,30,Phoenix Suns,3,USC Upstate,"2014 NBA Draft, Undrafted ",United States
99,Jae Crowder,SF,78,235,30,Phoenix Suns,8,Marquette,2012 Rnd 2 Pick 4,United States
23,Jarrett Culver,SG,78,195,22,Minnesota Timberwolves,1,Texas Tech,2019 Rnd 1 Pick 6,United States
31,Seth Curry,G,74,185,30,Philadelphia Sixers,7,Duke,"2013 NBA Draft, Undrafted ",United States
30,Stephen Curry,G,75,190,33,Golden State Warriors,11,Davidson,2009 Rnd 1 Pick 7,United States
30,Nate Darling,SG,77,200,22,Charlotte Hornets,0,Delaware,"2020 NBA Draft, Undrafted ",Canada
3,Anthony Davis,PF,73,253,28,Los Angeles Lakers,8,Kentucky,2012 Rnd 1 Pick 1,United States
17,Ed Davis,PF,81,218,31,Minnesota Timberwolves,10,North Carolina,2010 Rnd 1 Pick 13,United States
